worker_id,age,gender,city_tier,gig_platform,months_active,monthly_income,income_consistency_score,upi_transaction_count,average_transaction_value,monthly_inflow,monthly_outflow,savings_ratio,utility_bill_payment_rate,mobile_recharge_frequency,customer_rating,task_completion_rate,active_days_per_month,working_hours_per_week,account_balance_trend,previous_microloan_taken,previous_microloan_repaid,financial_stability_score,credit_risk_category
GW00035,31,Male,Tier2,Freelancer,15,26075,42,6,2136,27798,28699,0,56,3,2.8,63,14,21,Stable,Yes,Yes,37.1,Medium
GW00036,27,Male,Tier3,Urban Company,13,18227,46,16,635,19164,16675,13.2,43,3,3,66,26,28,Decreasing,Yes,Yes,33.7,High
GW00037,35,Male,Tier3,Urban Company,6,27414,69,67,177,27628,22780,18.8,82,3,3.7,77,23,60,Increasing,Yes,Yes,73.1,Low
GW00038,24,Male,Tier2,Zomato,37,33403,68,54,199,38160,27656,28.6,87,3,4.3,93,30,37,Stable,No,No,71.3,Low
GW00039,25,Male,Tier1,Uber,18,39144,40,23,649,42138,36561,13.5,61,2,3.1,74,28,15,Stable,No,No,45.5,Medium
GW00040,43,Female,Tier2,Ola,39,38079,60,45,412,39826,38199,8,90,2,4.1,84,27,43,Increasing,No,No,55,Medium
GW00041,54,Female,Tier2,Freelancer,35,39743,86,59,442,44998,32982,29.2,97,1,4.3,76,24,34,Increasing,Yes,Yes,86.5,Low
GW00042,24,Male,Tier2,Swiggy,42,36573,84,72,179,37329,28582,20,93,2,4.6,75,24,51,Increasing,No,No,72.5,Low
GW00043,33,Male,Tier1,Urban Company,21,58281,74,72,345,64402,45689,28.4,89,2,4.1,80,30,39,Increasing,No,No,76.3,Low
GW00044,20,Male,Tier3,Swiggy,6,14139,5,21,290,14387,13871,4.4,59,1,3.1,31,19,39,Stable,No,No,25.9,High
GW00045,35,Female,Tier1,Freelancer,39,55123,42,71,474,61159,46673,25.8,82,2,4.6,73,22,38,Stable,No,No,63.6,Low
GW00046,23,Male,Tier3,Uber,45,17280,68,38,235,18841,16179,12.9,90,4,4.1,71,23,28,Increasing,No,No,60.7,Low
GW00047,45,Male,Tier1,Uber,30,46680,72,44,494,50672,43003,16.1,90,3,4.3,99,22,42,Increasing,Yes,Yes,74.1,Low
GW00048,24,Female,Tier1,Swiggy,18,32052,61,57,182,34758,32121,7,62,1,3.4,62,22,65,Decreasing,Yes,Yes,39.4,Medium
GW00049,40,Male,Tier2,Zomato,16,28991,47,61,327,30892,28600,3.8,81,4,3.3,74,17,38,Stable,No,No,41.8,Medium
GW00050,28,Male,Tier1,Swiggy,13,40969,79,32,797,46473,37262,23.6,81,3,4.1,100,23,45,Increasing,Yes,Yes,80.2,Low
GW00051,29,Male,Tier1,Uber,13,31866,43,22,467,32042,30886,5.3,62,5,2.6,66,20,45,Decreasing,Yes,Yes,26.9,High
GW00052,18,Male,Tier1,Uber,38,31656,20,14,720,35820,28102,19.9,98,3,3.2,87,24,45,Increasing,Yes,No,55.7,Medium
GW00053,22,Female,Tier3,Ola,3,15038,50,15,402,15997,15515,4.5,58,2,4.3,58,8,30,Increasing,No,No,49.1,Medium
GW00054,29,Male,Tier1,Swiggy,6,26885,52,16,538,28211,26221,4.9,68,1,3.7,42,16,39,Decreasing,No,No,24.5,High
GW00055,37,Male,Tier1,Swiggy,16,37762,58,24,938,41137,39013,7.2,74,4,4.2,89,25,46,Stable,Yes,Yes,53,Medium
GW00056,22,Male,Tier2,Urban Company,10,27567,42,29,363,28462,27710,0,46,2,2.9,60,13,44,Decreasing,Yes,Yes,25,High
GW00057,43,Male,Tier1,Freelancer,18,57654,88,44,855,61506,48294,25,100,2,4.4,82,21,55,Increasing,No,No,79.1,Low
GW00058,34,Male,Tier3,Zomato,25,22927,74,18,693,25083,16226,35.6,85,1,3.6,85,30,58,Increasing,No,No,84.1,Low
GW00059,25,Male,Tier1,Freelancer,50,58291,99,29,993,61559,52017,18,89,2,4,79,18,29,Stable,Yes,Yes,78.5,Low
GW00060,31,Male,Tier3,Urban Company,28,29337,74,53,190,30736,23339,25.6,87,3,4.2,94,24,53,Increasing,Yes,Yes,80,Low
GW00061,32,Male,Tier1,Urban Company,37,50471,68,38,467,54935,38389,32.6,79,3,4.4,94,27,43,Increasing,No,No,82.1,Low
GW00062,35,Male,Tier1,Freelancer,47,54329,76,49,386,59425,51224,16.6,89,3,4.4,82,24,46,Increasing,No,No,68.7,Low
GW00063,42,Male,Tier2,Ola,26,21883,31,43,195,22910,20785,5.1,74,2,2.9,55,16,22,Stable,Yes,Yes,46.9,Medium
GW00064,36,Other,Tier1,Swiggy,29,32204,60,49,224,35337,29595,14.5,99,2,5,80,28,58,Increasing,No,No,67.6,Low
GW00065,18,Male,Tier3,Ola,20,20710,80,33,268,23329,17269,26.4,90,2,4.5,95,22,30,Stable,No,No,70,Low
GW00066,35,Female,Tier2,Ola,16,33625,50,50,420,34196,29433,16.7,73,4,2.9,75,10,36,Decreasing,Yes,Yes,47.4,Medium
GW00067,28,Male,Tier3,Swiggy,20,20776,86,50,149,23702,18150,26.2,87,1,4,86,20,41,Increasing,No,No,80.6,Low
GW00068,38,Female,Tier3,Swiggy,13,14083,24,7,844,14225,13575,3.6,48,1,3.2,65,17,36,Decreasing,No,No,21.8,High
GW00069,32,Male,Tier2,Swiggy,42,23464,80,22,511,25309,23867,8,90,3,4.1,90,21,37,Decreasing,No,No,47.3,Medium
GW00070,38,Male,Tier1,Ola,1,26758,35,7,2085,30381,28995,5.9,64,2,2.7,32,15,29,Decreasing,No,No,17.1,High
GW00071,18,Male,Tier2,Swiggy,11,26453,46,44,237,27467,22603,21,61,4,3.7,60,17,45,Increasing,No,No,51.2,Medium
GW00072,33,Male,Tier1,Uber,32,44805,76,30,814,49487,42221,17.7,95,3,4.1,75,16,41,Increasing,Yes,Yes,74.6,Low
GW00073,31,Female,Tier1,Freelancer,24,51273,69,77,248,51595,40179,20.1,82,2,3.9,80,30,47,Increasing,Yes,Yes,71.9,Low
GW00074,24,Male,Tier2,Swiggy,1,23892,61,4,3290,25614,23926,5.1,39,4,2.9,71,5,28,Decreasing,Yes,No,13.3,High
GW00075,18,Male,Tier1,Urban Company,15,43396,76,8,3338,47470,41898,9.7,73,4,4.5,61,20,25,Increasing,Yes,Yes,57.3,Medium
GW00076,22,Female,Tier1,Uber,11,34597,54,72,148,37396,30232,19.3,69,3,4.1,74,28,34,Stable,No,No,54.5,Medium
GW00077,26,Male,Tier2,Zomato,37,25121,62,23,736,25791,18654,24.4,90,3,3.6,73,21,32,Stable,No,No,59.1,Low
GW00078,31,Male,Tier1,Zomato,37,39555,65,81,285,39682,24300,37.9,100,1,4.4,93,25,33,Increasing,No,No,91.7,Low
GW00079,47,Male,Tier2,Swiggy,19,27551,74,57,328,29403,28199,8,100,3,4.4,97,27,47,Increasing,No,No,65.9,Low
GW00080,22,Male,Tier3,Swiggy,18,21416,79,38,228,21995,20773,8,84,3,3.8,88,28,56,Stable,Yes,Yes,55,Medium
GW00081,18,Male,Tier2,Freelancer,5,24069,47,24,677,25388,23337,6.5,74,4,2.9,47,7,45,Stable,No,No,32.7,High
GW00082,35,Male,Tier3,Ola,19,14799,20,23,309,16665,15655,5.5,62,1,3.7,74,21,38,Stable,No,No,32.2,High
GW00083,27,Male,Tier2,Freelancer,22,40675,74,48,305,44023,36860,18,88,1,4.3,78,23,38,Increasing,No,No,69.4,Low
GW00084,29,Male,Tier2,Uber,45,35597,64,73,290,36033,31689,15.7,84,3,4.2,94,28,40,Increasing,Yes,Yes,75.7,Low
GW00085,26,Male,Tier3,Uber,35,23008,71,56,237,25483,20495,21.7,90,3,4.5,73,26,37,Increasing,No,No,71.6,Low
GW00086,30,Male,Tier1,Swiggy,32,43860,100,33,888,46820,40725,17,94,3,4.4,69,29,42,Increasing,No,No,74.6,Low
GW00087,30,Male,Tier3,Uber,13,18693,44,26,303,18806,15430,21.8,40,2,4.1,63,22,32,Stable,Yes,Yes,59.1,Low
GW00088,22,Male,Tier1,Ola,26,32770,39,25,723,36317,33649,4.4,62,4,4.4,89,26,15,Increasing,Yes,Yes,54,Medium
GW00089,32,Female,Tier2,Swiggy,6,22689,52,22,705,25703,24288,0.8,67,4,3.6,70,22,48,Decreasing,Yes,No,18.9,High
GW00090,22,Male,Tier1,Urban Company,9,54302,60,53,664,60383,50000,19.9,94,1,4.7,78,28,20,Increasing,No,No,66.3,Low
GW00091,23,Male,Tier1,Ola,36,46652,83,63,465,53496,41085,26.1,93,1,4,72,26,37,Increasing,Yes,Yes,82,Low
GW00092,18,Male,Tier2,Freelancer,24,32181,58,39,537,32940,30885,5.8,80,1,3.7,66,12,49,Decreasing,No,No,33.8,High
GW00093,27,Female,Tier1,Ola,29,37955,42,42,576,41169,35714,9.3,61,1,4.6,87,27,26,Increasing,No,No,58.2,Low
GW00094,31,Male,Tier2,Swiggy,2,25426,81,59,194,25778,21487,13.8,47,2,3.4,56,23,38,Decreasing,No,No,34,High
GW00095,28,Other,Tier3,Ola,11,20283,63,19,326,23251,16522,26.1,73,4,3.8,60,14,42,Increasing,No,No,62.1,Low
GW00096,30,Female,Tier3,Swiggy,6,25390,71,61,289,26209,18109,28.6,93,2,4.3,91,23,56,Stable,Yes,Yes,76.8,Low
GW00097,34,Female,Tier2,Uber,2,28814,52,47,373,32885,27160,13.8,64,3,4.4,84,16,64,Increasing,No,No,54.6,Medium
GW00098,27,Male,Tier2,Swiggy,19,33529,70,42,311,35832,25603,25.7,80,3,4.4,75,28,58,Increasing,No,No,71.4,Low
GW00099,33,Male,Tier1,Zomato,46,46521,58,63,442,52058,33102,37.7,83,3,4.4,76,19,30,Increasing,Yes,Yes,91.3,Low
GW00100,37,Male,Tier1,Swiggy,6,37165,52,40,414,42486,31025,23.4,94,3,3.9,89,27,59,Stable,No,No,59.1,Low
GW00101,20,Female,Tier1,Swiggy,11,45830,60,53,344,47430,33622,31.6,94,2,3.8,87,21,59,Stable,No,No,69.9,Low
GW00102,18,Female,Tier2,Zomato,41,26959,67,37,383,30257,25419,18.7,80,3,4,51,22,42,Increasing,No,No,60.7,Low
GW00103,38,Female,Tier1,Freelancer,23,56065,70,66,258,63544,56582,12,100,2,4.9,76,24,46,Increasing,No,No,66.2,Low
GW00104,18,Male,Tier2,Uber,11,30468,64,37,568,32988,30927,10,56,3,3.3,69,20,47,Decreasing,Yes,Yes,36.3,Medium
GW00105,22,Male,Tier3,Swiggy,16,13605,38,23,400,14981,13489,6.1,47,2,3,64,8,35,Stable,No,No,29.1,High
GW00106,51,Male,Tier1,Uber,58,48007,84,41,721,51199,35563,28.8,91,3,4,90,21,45,Increasing,Yes,Yes,91.3,Low
GW00107,31,Male,Tier2,Freelancer,11,35826,82,54,213,38111,31759,16.5,90,1,4.9,83,23,39,Stable,No,No,65.4,Low
GW00108,35,Male,Tier3,Zomato,6,13763,64,31,146,14092,13308,2,95,2,3.5,69,19,23,Increasing,Yes,Yes,53.3,Medium
GW00109,26,Male,Tier1,Uber,51,47795,67,43,621,52734,37060,30.6,100,1,4.4,100,30,40,Stable,No,No,82.2,Low
GW00110,33,Female,Tier1,Uber,24,45991,70,50,570,47142,33076,32.1,100,1,5,84,25,68,Stable,No,No,79.7,Low
GW00111,35,Male,Tier1,Freelancer,19,54591,73,46,381,56080,41207,29,83,1,4.3,80,29,53,Increasing,No,No,76.7,Low
GW00112,33,Female,Tier1,Uber,40,43807,64,43,535,47110,39108,15.3,95,1,4.3,91,30,50,Decreasing,No,No,55.9,Medium
GW00113,24,Female,Tier1,Zomato,14,29173,35,20,845,31177,25873,14,29,4,3.8,52,17,16,Stable,No,No,38.1,Medium
GW00114,31,Male,Tier3,Swiggy,27,13120,33,18,266,14398,14709,0.6,45,1,3.5,42,21,13,Decreasing,Yes,No,10.5,High
GW00115,26,Male,Tier1,Ola,23,38360,49,27,526,41364,39946,2,54,4,4.2,90,24,28,Increasing,No,No,42,Medium
GW00116,19,Male,Tier1,Zomato,16,26539,42,16,1115,27793,26470,6.2,16,1,4.3,47,17,41,Stable,Yes,No,29.7,High
GW00117,40,Male,Tier3,Freelancer,1,16313,34,41,183,16454,15083,4.3,54,1,2.2,71,8,25,Stable,Yes,Yes,33.7,High
GW00118,30,Male,Tier1,Zomato,50,41378,78,68,249,45032,32927,26.8,84,1,4.4,94,18,46,Increasing,No,No,80.6,Low
GW00119,32,Male,Tier1,Zomato,3,31556,33,47,213,33870,31595,4.8,39,3,3.3,71,10,26,Decreasing,No,No,18.4,High
GW00120,28,Other,Tier3,Zomato,38,16581,44,31,168,16782,14347,16,79,4,3.8,80,23,46,Decreasing,Yes,Yes,55.8,Medium
GW00121,18,Male,Tier2,Ola,14,21620,35,21,415,23887,24152,0,44,3,3.5,74,18,26,Stable,Yes,Yes,37,Medium
GW00122,19,Male,Tier3,Uber,3,15044,56,29,284,15619,14551,6.4,72,4,4.2,65,11,13,Decreasing,Yes,No,26.3,High
GW00123,25,Female,Tier2,Zomato,18,28088,54,55,276,28232,20028,32,89,2,4.5,100,23,49,Stable,No,No,69,Low
GW00124,27,Male,Tier1,Freelancer,34,58287,71,30,758,58383,43399,26,92,3,4.5,87,21,44,Increasing,No,No,74.8,Low
GW00125,33,Male,Tier2,Zomato,37,25915,68,56,276,28012,21933,17.7,92,2,4.7,94,25,45,Stable,Yes,Yes,67.3,Low
GW00126,34,Male,Tier1,Swiggy,37,41743,82,60,337,47555,40759,14.5,76,2,4.6,90,22,22,Increasing,Yes,Yes,75.7,Low
GW00127,18,Male,Tier3,Zomato,14,11869,41,15,490,13378,12791,0,58,1,3.1,49,26,16,Stable,Yes,Yes,33.6,High
GW00128,18,Male,Tier2,Urban Company,15,27701,37,29,639,28123,28183,4.2,80,4,3.4,57,5,31,Decreasing,Yes,Yes,31.6,High
GW00129,36,Female,Tier1,Freelancer,28,55001,69,33,658,57626,41254,30.1,99,1,4.3,77,24,24,Increasing,No,No,73.7,Low
GW00130,23,Male,Tier3,Ola,20,23346,60,37,302,24442,21658,6.8,59,2,4,77,22,51,Increasing,No,No,51.1,Medium
GW00131,21,Male,Tier3,Zomato,28,23803,68,27,283,26847,20432,23.8,100,1,5,91,29,45,Increasing,Yes,Yes,85.4,Low
GW00132,30,Male,Tier1,Uber,42,46444,84,81,346,52018,46120,15.1,83,1,4.4,84,21,59,Stable,No,No,60.8,Low
GW00133,28,Male,Tier1,Uber,32,48433,72,76,273,55448,48765,14.6,99,3,4.3,89,27,52,Increasing,No,No,70.5,Low
GW00134,32,Female,Tier2,Swiggy,42,32507,63,65,280,35045,22741,33.6,86,3,4.5,89,25,34,Increasing,No,No,83.1,Low
GW00135,21,Female,Tier3,Swiggy,8,11662,23,40,131,11686,11392,4.2,70,5,3.6,50,10,10,Stable,No,No,30.4,High
GW00136,18,Male,Tier2,Freelancer,24,41319,81,52,283,46910,39110,18.8,100,3,4,91,23,40,Decreasing,Yes,Yes,64.5,Low
GW00137,19,Other,Tier3,Zomato,18,18891,40,24,238,18992,17539,9,98,2,4,89,21,41,Decreasing,No,No,39,Medium
GW00138,18,Female,Tier2,Ola,22,28968,65,55,292,32581,29333,13.4,79,2,3.7,68,16,37,Stable,No,No,50.9,Medium
GW00139,36,Male,Tier1,Swiggy,6,40777,72,64,429,43950,33754,21.1,85,1,4.4,94,30,60,Increasing,Yes,Yes,78.2,Low
GW00140,37,Male,Tier2,Ola,12,19436,25,22,584,22251,21226,6.9,61,2,3.5,64,13,35,Decreasing,No,No,21.7,High
GW00141,27,Male,Tier1,Zomato,9,24897,19,4,4208,25803,26070,0,74,1,3.3,37,14,32,Decreasing,No,No,16.8,High
GW00142,18,Male,Tier2,Swiggy,27,19775,73,64,177,21295,16670,25.2,91,3,4.6,88,17,34,Stable,No,No,63.7,Low
GW00143,41,Male,Tier1,Uber,31,44071,88,64,324,44160,31930,29,100,2,3.6,88,19,31,Stable,Yes,No,65.8,Low
GW00144,30,Male,Tier1,Urban Company,41,60000,73,50,612,65407,43920,32.4,98,2,4.8,85,20,46,Stable,No,No,74.6,Low
GW00145,38,Male,Tier1,Urban Company,37,57067,73,61,552,57644,42571,23.2,100,1,3.5,82,16,39,Stable,No,No,59.6,Low
GW00146,32,Female,Tier3,Swiggy,42,22555,79,16,591,22776,17823,22.8,96,2,4.2,86,24,60,Increasing,No,No,75.4,Low
GW00147,26,Female,Tier3,Zomato,15,20883,63,44,178,23165,22264,8.1,71,3,3.7,87,16,38,Stable,No,No,44.6,Medium
GW00148,23,Male,Tier3,Uber,16,19019,77,45,138,19547,16566,13.8,70,2,3.6,65,26,34,Stable,Yes,Yes,56.6,Medium
GW00149,24,Female,Tier1,Swiggy,28,40824,74,69,290,46811,38465,19.1,94,1,3.7,76,30,36,Decreasing,No,No,53.1,Medium
GW00150,41,Male,Tier1,Freelancer,18,53729,70,66,274,56923,41102,29.8,86,3,4.5,90,25,23,Stable,No,No,72.8,Low
GW00151,18,Male,Tier3,Uber,1,13631,55,15,439,14619,14394,5.1,60,2,3.3,67,12,10,Decreasing,No,No,29.8,High
GW00152,33,Male,Tier2,Uber,7,31038,83,76,255,32503,20152,39.6,91,1,4.4,89,22,59,Stable,Yes,Yes,88.6,Low
GW00153,40,Female,Tier1,Ola,44,46152,53,51,326,48079,37467,21.4,90,3,4.8,88,29,50,Decreasing,No,No,59.2,Low
GW00154,24,Female,Tier1,Zomato,16,42193,95,72,204,47726,30994,31.7,95,3,3.9,80,25,48,Decreasing,No,No,70.5,Low
GW00155,29,Female,Tier2,Ola,8,25978,31,3,3447,29458,26659,10.3,18,3,3,69,10,28,Decreasing,Yes,Yes,32.4,High
GW00156,27,Female,Tier1,Uber,34,49273,66,56,293,50815,44339,13.2,69,3,4.6,86,21,42,Stable,Yes,Yes,58.4,Low
GW00157,28,Male,Tier2,Freelancer,12,28043,43,59,211,28208,23316,16.7,63,4,4.1,73,26,34,Decreasing,No,No,44.4,Medium
GW00158,24,Female,Tier1,Zomato,2,34116,73,19,975,35536,33849,6,66,4,3.3,65,27,47,Stable,No,No,35.4,High
GW00159,21,Male,Tier1,Swiggy,25,38683,80,43,439,43468,33762,18.6,90,2,4.1,90,25,41,Increasing,No,No,66.2,Low
GW00160,36,Male,Tier2,Urban Company,7,24675,68,46,315,26518,21171,23.3,62,3,3.5,78,14,38,Stable,Yes,Yes,58.3,Low
GW00161,41,Male,Tier2,Uber,54,33261,81,38,304,37196,29212,19.9,100,2,4.4,89,22,54,Stable,Yes,No,60.9,Low
GW00162,39,Male,Tier2,Urban Company,23,34231,60,8,1866,38508,30123,18.7,63,2,3.8,70,17,26,Increasing,Yes,Yes,60.5,Low
GW00163,20,Male,Tier1,Ola,43,38713,47,32,564,43470,33130,21.4,79,3,3.5,76,24,18,Increasing,No,No,66.6,Low
GW00164,25,Male,Tier1,Urban Company,11,46810,33,14,1617,50901,48056,6.5,65,3,2.9,70,13,40,Increasing,Yes,No,34.7,High
GW00165,29,Male,Tier1,Swiggy,41,40995,71,70,191,42043,37724,12.7,96,1,4.9,84,23,41,Stable,Yes,Yes,69.4,Low
GW00166,28,Male,Tier3,Zomato,1,11316,50,16,230,12388,11196,6.4,39,5,2,40,16,11,Increasing,Yes,No,23.1,High
GW00167,30,Male,Tier2,Freelancer,13,37898,67,56,225,39623,32757,18.8,97,2,3.7,94,24,33,Decreasing,Yes,Yes,58.2,Low
GW00168,33,Male,Tier3,Freelancer,37,32186,90,37,309,35875,27594,20.3,94,2,4.4,78,19,20,Increasing,No,No,75.5,Low
GW00169,40,Male,Tier2,Ola,14,34123,57,31,330,35170,30436,15.3,93,1,4,92,20,70,Increasing,Yes,Yes,66.3,Low
GW00170,32,Female,Tier1,Uber,3,33937,45,40,356,37226,35542,6.3,80,1,3.9,80,22,31,Decreasing,Yes,Yes,38.2,Medium
GW00171,36,Female,Tier2,Urban Company,6,32890,61,26,587,33312,32510,5.8,91,4,3.1,63,20,27,Decreasing,Yes,Yes,40.9,Medium
GW00172,21,Male,Tier1,Zomato,39,45821,90,63,377,51333,42275,19,83,3,3.6,88,21,52,Stable,Yes,Yes,69.1,Low
GW00173,28,Female,Tier2,Ola,20,29784,40,50,185,31190,29242,2,82,1,4.2,81,10,49,Stable,No,No,40.2,Medium
GW00174,29,Male,Tier1,Zomato,50,45860,58,46,476,52550,50006,8,84,1,4,93,23,22,Stable,Yes,Yes,58.9,Low
GW00175,40,Male,Tier1,Zomato,25,30534,63,36,572,32641,32445,2.1,51,2,4.6,74,12,29,Stable,Yes,Yes,44.6,Medium
GW00176,18,Male,Tier1,Uber,26,46577,66,38,736,48373,35558,24.3,86,3,4.2,90,18,38,Increasing,Yes,Yes,75.2,Low
GW00177,27,Male,Tier2,Freelancer,21,31455,72,19,709,32047,31683,5.3,55,4,3.4,77,26,43,Stable,Yes,Yes,47.7,Medium
GW00178,24,Male,Tier2,Ola,26,34784,59,62,286,39932,32990,20.4,81,1,4,96,28,40,Increasing,No,No,69.3,Low
GW00179,18,Male,Tier1,Urban Company,5,33852,25,19,1032,35881,34397,3.4,32,3,3.7,83,17,38,Decreasing,No,No,21.8,High
GW00180,31,Male,Tier3,Zomato,15,19000,51,40,171,20901,17169,18.6,88,2,3.8,89,20,26,Increasing,Yes,Yes,72.6,Low
GW00181,38,Male,Tier2,Swiggy,19,29990,65,40,246,31434,24263,24.1,80,3,4.5,97,22,38,Stable,No,No,68.4,Low
GW00182,33,Female,Tier1,Zomato,13,39234,62,61,352,40563,34701,17.3,84,2,3.7,88,24,44,Increasing,No,No,64.8,Low
GW00183,40,Male,Tier2,Zomato,1,20778,5,17,726,22558,18229,18,66,3,2.8,36,7,31,Decreasing,No,No,28,High
GW00184,23,Male,Tier3,Swiggy,9,10000,28,23,219,10593,10598,1.7,55,4,2.9,37,8,28,Increasing,No,No,28.9,High
GW00185,25,Male,Tier1,Swiggy,19,45527,72,43,612,48812,38474,22.8,96,2,4.1,96,30,49,Increasing,No,No,69.4,Low
GW00186,21,Female,Tier3,Uber,14,11444,41,27,249,12654,12175,2.5,59,3,3.9,84,26,49,Stable,Yes,Yes,42.4,Medium
GW00187,27,Male,Tier1,Zomato,2,30714,51,21,815,32015,30883,2.8,56,5,3.6,49,21,18,Stable,No,No,29.4,High
GW00188,35,Female,Tier1,Uber,13,36757,51,48,516,37607,36573,2,53,2,4.4,65,21,29,Stable,No,No,29.6,High
GW00189,37,Female,Tier1,Urban Company,13,41151,65,29,729,44468,43169,2,68,1,4,75,27,33,Stable,No,No,43.1,Medium
